DATESTAMP;INSTRUMENT_ID;LIST_SECTION;RN;SUPERTYPE;INSTRUMENT_TYPE;INSTRUMENT_CATEGORY;TRADE_CODE;ISIN;REGISTRY_NUMBER;REGISTRY_DATE;EMITENT_FULL_NAME;INN;NOMINAL;CURRENCY;ISSUE_AMOUNT;DECISION_DATE;OKSM_EDR;ONLY_EMITENT_FULL_NAME;REG_COUNTRY;QUALIFIED_INVESTOR;HAS_PROSPECTUS;IS_CONCESSION_AGREEMENT;IS_MORTGAGE_AGENT;INCLUDED_DURING_CREATION;SECURITY_HAS_DEFAULT;SECURITY_HAS_TECH_DEFAULT;INCLUDED_WITHOUT_COMPLIANCE;RETAINED_WITHOUT_COMPLIANCE;HAS_RESTRICTION_CIRCULATION;LISTING_LEVEL_HIST;OBLIGATION_PROGRAM_RN;COUPON_PERCENT;EARLY_REPAYMENT;EARLY_REDEMPTION;ISS_BOARDS;OTHER_SECURITIES;DISCLOSURE_PART_PAGE;DISCLOSURE_RF_INFO_PAGE;
"13.07.2017 0:00:00";"7065";"Первый уровень";"1";"Облигации";"Облигация муниципальная";"Муниципальные облигации города Омска 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга";"RU000A0JV0V9";"RU000A0JV0V9";"RU34001OMK1";"18.11.2014 0:00:00";"Администрация города Омска";"5503047244";"1000";"Рубль";"1000000";"02.12.2014 0:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"02.12.2014 Включение в Первый уровень";"";"13,06%";"+";"";"Т0 Облигации РПС : Облигации РЕПО c облигациями";"Облигация муниципальная, RU34002OMK1, RU000A0JWWQ9";"http://admomsk.ru/web/guest/government/divisions/34/debt-policy";"";
"13.07.2017 0:00:00";"9589";"Первый уровень";"2";"Облигации";"Облигация муниципальная";"муниципальные облигации города Омска 2016 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга";"RU000A0JWWQ9";"RU000A0JWWQ9";"RU34002OMK1";"14.10.2016 0:00:00";"Администрация города Омска";"5503047244";"1000";"Рубль";"2500000";"24.10.2016 0:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"24.10.2016 Включение в Первый уровень";"";"9,9%";"+";"+";"Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО c облигациями(расч.в USD)";"Облигация муниципальная, RU34001OMK1, RU000A0JV0V9";"http://admomsk.ru/web/guest/government/divisions/34/debt-policy";"";
"13.07.2017 0:00:00";"7059";"Первый уровень";"3";"Облигации";"Облигация муниципальная";"среднесрочные облигации Томского городского займа 2014 года с фиксированным купонным доходом  и  амортизацией  долга";"RU000A0JV2H4";"RU000A0JV2H4";"RU34005TOM1";"20.11.2014 0:00:00";"Администрация Города Томска";"7017004461";"1000";"Рубль";"1000000";"02.12.2014 0:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"02.12.2014 Включение в Первый уровень";"";"14%";"+";"";"Т0 Облигации Размещение: Адресные заявки РПС : Облигации РЕПО c облигациями";"Облигация муниципальная, RU34006TOM1, RU000A0JWZ10";"www.admin.tomsk.ru/pgs/z0";"";
"13.07.2017 0:00:00";"9653";"Первый уровень";"4";"Облигации";"Облигация муниципальная";"Среднесрочные облигации Томского городского займа 2016 года с фиксированным купонным доходом и амортизацией долга";"RU000A0JWZ10";"RU000A0JWZ10";"RU34006TOM1";"07.11.2016 0:00:00";"Администрация Города Томска";"7017004461";"1000";"Рубль";"1000000";"14.11.2016 0:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"14.11.2016 Включение в Первый уровень";"";"9,83%";"+";"+";"Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО c облигациями(расч.в USD)";"Облигация муниципальная, RU34005TOM1, RU000A0JV2H4";"www.admin.tomsk.ru/pgs/z0";"";
"13.07.2017 0:00:00";"8607";"Первый уровень";"5";"Облигации";"Облигация муниципальная";"муниципальные облигации городского округа – город Волжский Волгоградской области 2014 года с фиксированным купонным доходом и амортизацией долга";"RU000A0JV3M2";"RU000A0JV3M2";"RU34001VLK1";"15.12.2014 0:00:00";"Администрация городского округа – город Волжский Волгоградской области";"3435110011";"1000";"Рубль";"1000000";"24.12.2014 0:00:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"24.12.2014 Включение в Первый уровень";"";"15%";"+";"";"Т0 Облигации Размещение: Адресные заявки РПС : Облигации РЕПО c облигациями";"";"http://www.admvol.ru/Budget/";"";
"13.07.2017 0:00:00";"3762";"Первый уровень";"6";"Акции";"Акция обыкновенная";"акции обыкновенные";"ALRS";"RU0007252813";"1-03-40046-N";"25.08.2011 0:00:00";"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";"1433000147";"0,5";"Рубль";"7364965630";"23.11.2011 0:00:00";"";"";"";"";"+";"";"";"";"";"";"";"";"";"09.06.2014 Включение в Первый уровень 02.10.2012 Включение в Котировальный список ""А"" первого уровня 17.04.2012 Включение в Котировальный список ""А"" второго уровня 23.11.2011 Включение в Перечень внесписочных ценных бумаг";"";"";"";"";"РПС : Акции РЕПО c акциями Т+ Неполные лоты (акции) Крупные пакеты - Акции РЕПО с ЦК 1 день РЕПО с ЦК Адресное Т+ Акции и ДР РПС с ЦК: Акции и ДР РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c акциями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро";"Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N";"http://www.alrosa.ru/инвесторам-и-акционерам/";"http://www.e-disclosure.ru/portal/company.aspx?id=199";
"13.07.2017 0:00:00";"4492";"Первый уровень";"7";"Облигации";"Облигация биржевая";"документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-03 с обязательным централизованным хранением";"";"";"4B02-03-40046-N";"19.10.2012 0:00:00";"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";"1433000147";"1000";"Рубль";"5000000";"19.10.2012 0:00:00";"";"";"";"";"+";"";"";"+";"";"";"";"+";"";"09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня";"";"";"+";"";"";"Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N";"http://www.alrosa.ru/инвесторам-и-акционерам/";"http://www.e-disclosure.ru/portal/company.aspx?id=199";
"13.07.2017 0:00:00";"4493";"Первый уровень";"8";"Облигации";"Облигация биржевая";"документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-04 с обязательным централизованным хранением";"";"";"4B02-04-40046-N";"19.10.2012 0:00:00";"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";"1433000147";"1000";"Рубль";"5000000";"19.10.2012 0:00:00";"";"";"";"";"+";"";"";"+";"";"";"";"+";"";"09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня";"";"";"+";"";"";"Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N";"http://www.alrosa.ru/инвесторам-и-акционерам/";"http://www.e-disclosure.ru/portal/company.aspx?id=199";
"13.07.2017 0:00:00";"4494";"Первый уровень";"9";"Облигации";"Облигация биржевая";"документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-05 с обязательным централизованным хранением";"";"";"4B02-05-40046-N";"19.10.2012 0:00:00";"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";"1433000147";"1000";"Рубль";"5000000";"19.10.2012 0:00:00";"";"";"";"";"+";"";"";"+";"";"";"";"+";"";"09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня";"";"";"+";"";"";"Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N";"http://www.alrosa.ru/инвесторам-и-акционерам/";"http://www.e-disclosure.ru/portal/company.aspx?id=199";
"13.07.2017 0:00:00";"4495";"Первый уровень";"10";"Облигации";"Облигация биржевая";"документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-06 с обязательным централизованным хранением";"";"";"4B02-06-40046-N";"19.10.2012 0:00:00";"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";"1433000147";"1000";"Рубль";"5000000";"19.10.2012 0:00:00";"";"";"";"";"+";"";"";"+";"";"";"";"+";"";"09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня";"";"";"+";"";"";"Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N";"http://www.alrosa.ru/инвесторам-и-акционерам/";"http://www.e-disclosure.ru/portal/company.aspx?id=199";
